"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "XML", "Properties", "comment", "blank", "total"
"e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\cadastrar\page.tsx", "TypeScript JSX", 0, 0, 511, 0, 0, 0, 0, 0, 0, 28, 50, 589
"e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\editar\[slug]\page.tsx", "TypeScript JSX", 0, 0, 512, 0, 0, 0, 0, 0, 0, 33, 46, 591
"e:\Workspace\ItBuild\studio-frontend\src\app\funcionarios\page.tsx", "TypeScript JSX", 0, 0, 233, 0, 0, 0, 0, 0, 0, 2, 34, 269
"e:\Workspace\ItBuild\studio-frontend\src\app\globals.css", "CSS", 0, 0, 0, 357, 0, 0, 0, 0, 0, 10, 69, 436
"e:\Workspace\ItBuild\studio-frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 6, 29
"e:\Workspace\ItBuild\studio-frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 7, 82
"e:\Workspace\ItBuild\studio-frontend\src\app\produtos\page.tsx", "TypeScript JSX", 0, 0, 408, 0, 0, 0, 0, 0, 0, 12, 44, 464
"e:\Workspace\ItBuild\studio-frontend\src\app\recuperar-senha\page.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"e:\Workspace\ItBuild\studio-frontend\src\app\resetar-senha\[slug]\page.tsx", "TypeScript JSX", 0, 0, 163, 0, 0, 0, 0, 0, 0, 4, 18, 185
"e:\Workspace\ItBuild\studio-frontend\src\components\BikeView\BikeView.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 10, 78
"e:\Workspace\ItBuild\studio-frontend\src\components\Card\Card.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"e:\Workspace\ItBuild\studio-frontend\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"e:\Workspace\ItBuild\studio-frontend\src\components\MenuSideBar\MenuItem.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 15, 7, 62
